# Total data length 50 seconds
# 20 ms per point
# Trigger was at 5% (line 125), t=0
# time (s)  Vtemp(V)
-2.49558,1.27519
-2.47558,1.27519
-2.45558,1.27522
-2.43558,1.27522
-2.41558,1.27522
-2.39558,1.27519
-2.37558,1.27519
-2.35558,1.27522
-2.33558,1.27528
-2.31558,1.27528
-2.29558,1.27522
-2.27558,1.27528
-2.25558,1.27528
-2.23558,1.27534
-2.21558,1.27528
-2.19558,1.27522
-2.17558,1.27528
-2.15558,1.27528
-2.13558,1.27528
-2.11558,1.27534
-2.09558,1.27534
-2.07558,1.27534
-2.05558,1.27534
-2.03558,1.27538
-2.01558,1.27538
-1.99558,1.27528
-1.97558,1.27528
-1.95558,1.27534
-1.93558,1.27534
-1.91558,1.27534
-1.89558,1.27538
-1.87558,1.27538
-1.85558,1.27544
-1.83558,1.27544
-1.81558,1.27544
-1.79558,1.27538
-1.77558,1.27544
-1.75558,1.27544
-1.73558,1.27544
-1.71558,1.27544
-1.69558,1.27544
-1.67558,1.27538
-1.65558,1.2755
-1.63558,1.27553
-1.61558,1.2755
-1.59558,1.2755
-1.57558,1.2755
-1.55558,1.27553
-1.53558,1.27553
-1.51558,1.2755
-1.49558,1.2755
-1.47558,1.2755
-1.45558,1.27553
-1.43558,1.27553
-1.41558,1.27553
-1.39558,1.2755
-1.37558,1.2755
-1.35558,1.27553
-1.33558,1.27559
-1.31558,1.27553
-1.29558,1.27553
-1.27558,1.27553
-1.25558,1.27553
-1.23558,1.27559
-1.21558,1.27553
-1.19558,1.27553
-1.17558,1.27553
-1.15558,1.27553
-1.13558,1.27559
-1.11558,1.27559
-1.09558,1.27559
-1.07558,1.27559
-1.05558,1.27559
-1.03558,1.27566
-1.01558,1.27559
-.995579,1.27559
-.975579,1.27559
-.955579,1.27559
-.935579,1.27559
-.915579,1.27559
-.895579,1.27553
-.875579,1.27559
-.855579,1.27559
-.835579,1.27566
-.815579,1.27559
-.795579,1.27559
-.775579,1.27559
-.755579,1.27566
-.735579,1.27569
-.715579,1.27566
-.695579,1.27559
-.675579,1.27566
-.655579,1.27569
-.635579,1.27569
-.615579,1.27566
-.595579,1.27559
-.575579,1.27566
-.555579,1.27566
